date,pre_close,open,high,low,close,volume,amt
2005-04-27,937.0830,938.5700,938.9100,925.8960,926.6040,1078061100.0000,6432845906.0000
2005-04-28,926.6040,923.5290,945.5040,914.8290,942.0730,1434348600.0000,8315813742.0000
2005-04-29,942.0730,940.8060,942.4530,929.8100,932.3950,1123541900.0000,6853192443.0000
2005-05-09,932.3950,934.6500,937.3900,909.1740,909.1740,852911500.0000,4889696446.0000
2005-05-10,909.1740,905.5430,913.3880,892.3130,913.0760,1049433100.0000,5960910722.0000
2005-05-11,913.0760,911.8380,917.2230,900.4380,901.8510,904204700.0000,5128333208.0000
2005-05-12,901.8510,899.9680,900.0630,883.5110,885.8200,1022872000.0000,6107327165.0000
2005-05-13,885.8200,883.5050,898.5050,875.5760,887.5430,1124490600.0000,6228419643.0000
2005-05-16,887.5430,885.3890,885.3890,869.3340,875.2710,822428800.0000,4630088469.0000
2005-05-17,875.2710,873.0770,888.2810,868.2120,881.4620,877227300.0000,4635198616.0000
2005-05-18,881.4620,881.1410,890.4030,871.8210,883.1960,787861000.0000,4615409280.0000
2005-05-19,883.1960,882.8420,888.0160,871.2890,884.1710,814958300.0000,4263472583.0000
2005-05-20,884.1710,883.5130,891.0200,879.1800,882.7630,722667600.0000,3835476288.0000
2005-05-23,882.7630,880.2810,880.2810,862.0980,863.3410,727979500.0000,3725791093.0000
2005-05-24,863.3410,861.1950,871.7670,855.5870,868.4560,920692900.0000,4777971875.0000
2005-05-25,868.4560,867.6580,876.3050,861.6590,868.4510,723855600.0000,3742173189.0000
2005-05-26,868.4510,867.7580,872.8350,854.9560,857.3310,662278600.0000,3470051082.0000
2005-05-27,857.3310,855.5950,864.9630,848.3980,849.5080,774998300.0000,4240678764.0000
2005-05-30,849.5080,847.6340,858.4620,842.1020,855.6120,697158300.0000,3712116331.0000
2005-05-31,855.6120,856.5610,863.1980,853.2910,855.9460,704782100.0000,3601006687.0000
2005-06-01,855.9460,855.2060,857.6570,836.0400,837.5320,790230200.0000,4274074912.0000
2005-06-02,837.5320,835.4670,835.4930,812.9890,818.3790,950865700.0000,5220786229.0000
2005-06-03,818.3790,816.5460,823.8600,807.9650,818.0330,793605600.0000,4164754479.0000
2005-06-06,818.0330,816.7310,839.1500,807.7840,838.9970,900918500.0000,4685006534.0000
2005-06-07,838.9970,841.5790,858.0920,835.1790,837.2820,1306706800.0000,7248577634.0000
2005-06-08,837.2820,848.5360,908.8290,844.4730,905.7730,3290783900.0000,17414544247.0000
2005-06-09,905.7730,907.5690,925.3650,895.0360,912.6040,3314184000.0000,17782386004.0000
2005-06-10,912.6040,911.9410,911.9410,889.1030,894.5560,2239150200.0000,12006754528.0000
2005-06-13,894.5560,894.9970,900.1800,877.6900,892.9590,1562800200.0000,7944060172.0000
2005-06-14,892.9590,895.3910,905.4150,882.8620,883.5370,1434357000.0000,7692070462.0000
2005-06-15,883.5370,881.2080,881.2480,865.1360,866.8340,1145405600.0000,6272310250.0000
2005-06-16,866.8340,866.6590,879.4930,861.8270,879.2370,1104968500.0000,6115269193.0000
2005-06-17,879.2370,883.6050,888.0780,876.0380,880.3450,1496300900.0000,8285455982.0000
2005-06-20,880.3450,881.6230,906.4820,872.5630,906.2550,1899208200.0000,10290889580.0000
2005-06-21,906.2550,906.3060,906.3060,894.3860,896.1660,1277478400.0000,6890936652.0000
2005-06-22,896.1660,894.7690,901.2430,891.9260,900.6460,1047813400.0000,5882401451.0000
2005-06-23,900.6460,900.0590,904.8960,892.8310,893.5720,950930800.0000,5465028353.0000
2005-06-24,893.5720,892.0610,898.6700,888.3970,898.3010,891873900.0000,4732186046.0000
2005-06-27,898.3010,904.2090,920.6470,904.2090,916.0430,1654540200.0000,8903493734.0000
2005-06-28,916.0430,913.4800,913.4800,901.2070,903.7160,1040221900.0000,5536098456.0000
2005-06-29,903.7160,906.7510,907.5710,898.0840,898.8980,1080674600.0000,5751998008.0000
2005-06-30,898.8980,897.1020,897.1020,876.8840,878.6860,1085547200.0000,5597946269.0000
2005-07-01,878.6860,875.9350,875.9350,858.3700,859.4940,1009459700.0000,5086726820.0000
2005-07-04,859.4940,855.3170,856.1000,842.8120,855.9320,884027700.0000,4026099534.0000
2005-07-05,855.9320,853.6790,856.7380,845.3610,849.6790,799268800.0000,4529674417.0000
2005-07-06,849.6790,850.2530,854.4480,838.6090,842.5560,689831400.0000,3627265630.0000
2005-07-07,842.5560,841.7480,848.0220,839.2820,844.7290,596246500.0000,2901826588.0000
2005-07-08,844.7290,842.6200,842.6200,827.2290,829.4890,722100000.0000,3447787083.0000
2005-07-11,829.4890,837.8630,850.6580,822.5240,824.0970,843900600.0000,4092653674.0000
2005-07-12,824.0970,821.9110,854.2860,818.8630,851.8160,1498987100.0000,7519245269.0000
2005-07-13,851.8160,850.4690,851.9490,841.8580,846.2310,939884200.0000,4674024437.0000
2005-07-14,846.2310,844.9400,856.0950,843.1760,849.5900,936196800.0000,4742557429.0000
2005-07-15,849.5900,849.8730,854.6040,837.7830,841.0010,888956300.0000,4203939701.0000
2005-07-18,841.0010,839.2210,840.0050,829.6790,832.9950,850000600.0000,3767754660.0000
2005-07-19,832.9950,831.5010,840.1430,829.2770,835.6080,789181800.0000,3622924794.0000
2005-07-20,835.6080,835.3010,844.7120,832.1440,842.6410,852647300.0000,3953440082.0000
2005-07-21,842.6410,842.7460,843.9870,835.7570,843.9870,836610100.0000,4118496717.0000
2005-07-22,843.9870,847.5410,867.1650,842.9870,859.6930,2163097600.0000,10210013616.0000
2005-07-25,859.6930,858.3280,860.9510,854.2840,856.8600,1181608000.0000,5762385031.0000
2005-07-26,856.8600,856.1890,880.0340,856.1890,876.4800,2182677600.0000,10513580671.0000
2005-07-27,876.4800,876.9420,894.0260,876.0360,894.0120,2040953700.0000,9688109273.0000
2005-07-28,894.0120,893.8790,900.9970,888.5000,890.8850,2062252700.0000,10326374188.0000
2005-07-29,890.8850,889.4100,892.2940,883.3830,888.1640,1339740600.0000,6409062024.0000
2005-08-01,888.1640,887.7180,897.2850,885.8500,891.6070,1180830900.0000,5451576867.0000
2005-08-02,891.6070,892.1300,903.6480,888.3960,903.5980,1429254700.0000,6441958706.0000
2005-08-03,903.5980,905.1810,919.2820,903.7600,909.5700,2578629800.0000,11911777040.0000
2005-08-04,909.5700,907.4200,909.8270,901.6250,904.1500,1451925600.0000,6682690057.0000
2005-08-05,904.1500,904.0390,923.8080,903.9400,923.8030,1912376500.0000,9585685726.0000
2005-08-08,923.8030,926.5710,933.1540,923.5730,927.4710,2160894400.0000,11135756693.0000
2005-08-09,927.4710,926.9730,933.3940,919.1070,933.0890,1953290700.0000,9704541246.0000
2005-08-10,933.0890,933.2600,940.3700,926.2750,940.3700,2151576300.0000,10214864206.0000
2005-08-11,940.3700,940.7850,953.9920,939.3860,953.9920,2707366600.0000,14042061872.0000
