date,pre_close,open,high,low,close,volume,amt
2010-08-12,1004.6370,994.0520,1007.5760,987.9780,991.7770,168918923.0000,5316055441.9000
2010-08-13,991.7770,992.6260,1007.5200,986.6230,1007.2060,147179842.0000,4831450138.8000
2010-08-16,1007.2060,1007.4980,1031.0520,1005.0520,1030.2170,188040007.0000,6199923328.8000
2010-08-17,1030.2170,1031.0750,1036.8210,1023.0790,1033.5810,180077710.0000,6092952253.5000
2010-08-18,1033.5810,1033.7070,1035.6110,1018.4960,1026.7220,164350147.0000,5721278602.6000
2010-08-19,1026.7220,1026.9830,1033.2480,1021.7040,1025.5260,162453428.0000,5547407031.1000
2010-08-20,1025.5260,1021.4580,1022.4480,993.5600,995.9440,240456097.0000,9468962916.0000
2010-08-23,995.9440,994.9380,1001.1830,991.5180,995.6130,177392812.0000,6691922863.4000
2010-08-24,995.6130,993.5760,1007.7600,987.2240,1004.9850,160815511.0000,6272781888.5000
2010-08-25,1004.9850,1000.2690,1002.3290,976.5550,976.8780,216663842.0000,7732030971.5000
2010-08-26,976.8780,978.5980,984.8680,973.0020,980.6300,170076773.0000,6245785684.4000
2010-08-27,980.6300,978.5140,1000.8610,975.7200,999.4560,217348053.0000,7887761326.8000
2010-08-30,999.4560,1002.9870,1025.1530,1002.9870,1024.9280,235818611.0000,8501815315.4000
2010-08-31,1024.9280,1020.7470,1029.8020,1015.1330,1025.5700,217533498.0000,8054545178.2000
2010-09-01,1025.5700,1025.6780,1029.8050,987.5880,995.5860,240015323.0000,8763611340.8000
2010-09-02,995.5860,1001.5970,1018.2750,996.5240,1014.9220,275800393.0000,11048559001.3000
2010-09-03,1014.9220,1017.6370,1045.2130,1017.5100,1036.7030,318601286.0000,12468598852.9000
2010-09-06,1036.7030,1039.4640,1043.2400,1007.4260,1010.7640,254696265.0000,9852694884.7000
2010-09-07,1010.7640,1010.1150,1022.6220,1007.6370,1022.6220,168600214.0000,6571730323.4000
2010-09-08,1022.6220,1020.2290,1027.6370,1016.8360,1026.3270,180164408.0000,6577840827.6000
2010-09-09,1026.3270,1029.1060,1040.6700,1019.6880,1021.8320,236528422.0000,8209269717.3000
2010-09-10,1021.8320,1021.8740,1037.5110,1016.1910,1034.9390,221090108.0000,7388107436.7000
2010-09-13,1034.9390,1034.3900,1045.3900,1033.2540,1042.4820,201029290.0000,6899539098.2000
2010-09-14,1042.4820,1044.3020,1046.1320,1028.7690,1031.2190,194084161.0000,6968657959.9000
2010-09-15,1031.2190,1029.5200,1030.0210,987.0490,990.1030,221646428.0000,7937956462.7000
2010-09-16,990.1030,989.4880,994.9540,964.5280,972.6020,171792409.0000,5902965873.2000
2010-09-17,972.6020,976.0710,981.7280,967.5550,972.2290,145003098.0000,5395687663.0000
2010-09-20,972.2290,972.4450,975.2620,947.4140,949.1950,129268187.0000,4638370692.2000
2010-09-21,949.1950,952.0720,953.8340,930.2480,934.4610,110718793.0000,3685261144.5000
2010-09-27,934.4610,936.2130,951.8370,930.8650,950.6710,107943714.0000,3608369917.2000
2010-09-28,950.6710,949.6310,949.8890,939.6310,942.0490,166617325.0000,6756897358.3000
2010-09-29,942.0490,941.2680,944.1740,924.4150,926.7580,123024219.0000,4512222723.1000
2010-09-30,926.7580,923.8250,942.5390,921.3570,942.5390,109920982.0000,3967678360.3000
2010-10-08,942.5390,946.4690,963.1800,945.6180,959.8630,151118820.0000,5272913519.6000
2010-10-11,959.8630,960.9130,961.1730,941.9120,947.1100,185247022.0000,6479456338.7000
2010-10-12,947.1100,946.6260,959.9760,945.0110,951.7900,151089552.0000,5054330330.6000
2010-10-13,951.7900,951.3260,962.7380,940.6450,962.7380,220948560.0000,7669941903.9000
2010-10-14,962.7380,963.2860,975.9070,956.8640,958.4950,199413621.0000,6996953589.3000
2010-10-15,958.4950,954.1170,957.7690,937.1200,944.2540,188478778.0000,6403269977.3000
2010-10-18,944.2540,941.8740,941.8740,913.8160,932.3590,178733552.0000,5975260052.7000
2010-10-19,932.3590,932.8260,1005.5910,932.3230,995.9220,333380950.0000,11780277447.1000
2010-10-20,995.9220,986.6540,1024.5790,986.0330,1004.5420,343817461.0000,11730252457.6000
2010-10-21,1004.5420,1001.6820,1001.6820,983.6560,991.8420,216194485.0000,7155691391.2000
2010-10-22,991.8420,991.1350,1023.7030,991.1350,1013.4480,237773386.0000,8008473684.4000
2010-10-25,1013.4480,1018.0840,1043.0870,1018.0840,1039.0540,272946436.0000,9349804461.1000
2010-10-26,1039.0540,1041.5320,1041.9140,1020.9420,1036.0070,296792366.0000,11256502901.2000
2010-10-27,1036.0070,1034.8640,1048.5560,1028.6960,1030.5930,244383103.0000,8963388240.8000
2010-10-28,1030.5930,1024.6970,1038.6220,1023.4920,1038.6220,226939254.0000,8471493693.3000
2010-10-29,1038.6220,1042.4010,1069.7540,1042.4010,1064.5220,309740497.0000,11544181606.9000
2010-11-01,1064.5220,1071.6280,1113.6230,1071.6280,1107.5230,375482500.0000,14242636592.5000
2010-11-02,1107.5230,1108.0930,1108.0930,1074.5800,1075.1510,329263736.0000,12447464041.9000
2010-11-03,1075.1510,1063.2000,1063.2000,1040.5480,1040.6210,222459564.0000,8194693433.3000
2010-11-04,1040.6210,1041.4190,1057.7140,1037.2390,1057.7140,175911347.0000,6392806943.8000
2010-11-05,1057.7140,1067.8730,1072.2190,1058.2590,1072.2190,223733523.0000,8252892118.3000
2010-11-08,1072.2190,1077.5040,1107.0610,1077.5040,1107.0610,257917334.0000,9730492128.5000
2010-11-09,1107.0610,1110.4340,1117.5210,1102.0140,1115.6480,262211626.0000,9958052508.4000
2010-11-10,1115.6480,1115.7430,1147.4810,1113.7540,1141.5820,297408430.0000,11130953829.5000
2010-11-11,1141.5820,1137.0790,1163.6980,1132.3580,1132.7220,318099643.0000,11899691414.0000
2010-11-12,1132.7220,1126.8540,1140.6340,1080.2660,1082.2400,361233925.0000,16217641540.2000
2010-11-15,1082.2400,1087.8070,1148.5390,1086.5170,1148.5390,298108055.0000,12781418082.2000
2010-11-16,1148.5390,1154.4090,1175.3110,1111.4960,1126.1750,396458720.0000,15919421677.4000
2010-11-17,1126.1750,1115.1200,1132.8620,1080.9330,1085.3490,282979568.0000,10875057056.3000
2010-11-18,1085.3490,1090.1380,1102.8450,1077.0590,1102.8450,223879080.0000,8470644969.5000
2010-11-19,1102.8450,1106.7530,1153.1710,1105.5940,1153.1710,323361538.0000,12096800522.3000
2010-11-22,1153.1710,1153.2640,1194.1960,1151.7640,1174.9380,402538807.0000,15662365523.8000
2010-11-23,1174.9380,1172.0600,1183.8420,1148.8140,1183.5020,289876623.0000,11296674488.6000
2010-11-24,1183.5020,1176.4240,1208.4500,1174.6750,1208.4500,286909896.0000,11210070047.2000
2010-11-25,1208.4500,1212.7680,1215.7410,1177.8260,1186.3580,283258445.0000,11069243169.1000
2010-11-26,1186.3580,1184.8030,1200.4980,1179.2780,1196.0190,235044140.0000,9326841129.6000
2010-11-29,1196.0190,1195.3130,1221.7450,1193.4140,1220.1100,268525928.0000,10786042544.9000
2010-11-30,1220.1100,1219.0760,1219.1170,1146.9750,1181.5040,316325798.0000,12525799788.7000
2010-12-01,1181.5040,1176.6130,1182.5730,1169.8920,1177.1750,161222103.0000,6449476688.7000
2010-12-02,1177.1750,1187.1030,1192.7980,1177.8130,1177.8400,176713208.0000,7208343296.1000
2010-12-03,1177.8400,1177.1690,1178.6740,1148.0880,1157.9390,170261328.0000,6748121797.3000
2010-12-06,1157.9390,1157.7200,1159.2970,1124.9350,1134.3830,156235837.0000,6184401314.8000
2010-12-07,1134.3830,1132.3280,1162.5820,1123.7620,1161.6920,128046095.0000,5119899868.5000
2010-12-08,1161.6920,1160.9230,1176.4200,1158.1010,1160.2390,134585268.0000,5479290634.5000
2010-12-09,1160.2390,1158.8170,1160.9120,1144.1810,1144.5310,180695514.0000,7859629192.1000
2010-12-10,1144.5310,1139.8280,1167.6770,1136.3300,1166.8010,156930249.0000,6674189013.5000
2010-12-13,1166.8010,1175.5090,1210.7530,1175.5090,1209.2710,230138083.0000,9731481439.4000
2010-12-14,1209.2710,1211.4630,1219.7110,1204.6640,1218.5200,204767651.0000,8569487936.3000
2010-12-15,1218.5200,1217.8080,1224.0450,1209.2890,1211.8040,231926394.0000,10289328234.9000
2010-12-16,1211.8040,1209.6200,1233.6170,1209.3440,1225.0300,212781007.0000,8816229556.1000
2010-12-17,1225.0300,1222.9270,1233.3890,1222.9270,1232.9820,205951569.0000,8599738883.8000
2010-12-20,1232.9820,1235.6680,1239.6020,1180.5290,1212.3370,270238585.0000,11802206139.3000
2010-12-21,1212.3370,1212.0860,1222.3000,1204.4780,1215.0220,188594968.0000,7935691089.2000
2010-12-22,1215.0220,1214.7720,1215.7890,1199.6760,1201.6470,210949992.0000,9215363346.5000
2010-12-23,1201.6470,1198.7370,1200.7550,1175.8610,1176.3640,187714436.0000,8295889419.5000
2010-12-24,1176.3640,1170.6950,1170.6950,1140.1340,1144.5020,163033679.0000,7045270564.7000
2010-12-27,1144.5020,1145.6990,1154.5250,1100.5170,1105.2960,156789636.0000,6535094842.4000
2010-12-28,1105.2960,1098.9390,1099.1820,1080.3980,1091.4830,143956728.0000,5774803832.5000
2010-12-29,1091.4830,1091.8180,1113.3100,1091.8180,1113.3100,161597599.0000,6762599057.0000
2010-12-30,1113.3100,1113.5590,1122.4060,1106.4290,1117.2140,140944793.0000,5905897539.3000
2010-12-31,1117.2140,1117.3600,1138.4720,1117.3600,1137.6620,139112362.0000,5869734288.8000
2011-01-04,1137.6620,1142.1660,1155.5180,1140.0400,1155.1060,169588121.0000,7403007601.9000
2011-01-05,1155.1060,1153.9090,1159.1170,1146.3800,1155.3490,168352709.0000,7341839772.9000
2011-01-06,1155.3490,1153.6330,1159.4050,1134.0890,1134.7920,155912992.0000,6869232725.2000
2011-01-07,1134.7920,1132.7330,1139.7790,1119.6140,1126.5170,197403099.0000,9548236024.5000
2011-01-10,1126.5170,1124.3370,1124.3370,1089.0560,1093.7650,159181887.0000,7219412408.1000
2011-01-11,1093.7650,1089.9880,1089.9880,1068.3990,1078.3650,137643164.0000,5853695853.1000
2011-01-12,1078.3650,1083.1170,1095.5160,1071.0860,1089.6730,123447041.0000,5239285828.5000
2011-01-13,1089.6730,1094.8260,1097.0980,1089.6720,1093.8560,177697115.0000,7317823781.7000
2011-01-14,1093.8560,1092.0930,1092.0930,1065.7460,1067.4180,153437015.0000,6235601620.6000
2011-01-17,1067.4180,1066.4350,1066.9910,1025.6630,1028.1610,170101489.0000,6922490212.1000
2011-01-18,1028.1610,1021.8360,1029.8630,1014.6310,1025.7160,101806403.0000,4027368974.8000
2011-01-19,1025.7160,1025.9300,1048.5980,1023.1480,1048.5350,117833943.0000,4748988735.9000
2011-01-20,1048.5350,1047.7680,1051.5160,1020.2860,1020.3890,144228198.0000,5770514570.7000
2011-01-21,1020.3890,1014.7160,1033.5180,1013.2690,1024.5050,125432116.0000,5075484808.1000
2011-01-24,1024.5050,1024.7920,1029.3290,994.2610,994.9670,131574342.0000,5500295917.9000
